"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210628.CR6","65065","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-06-29 13:30:00",141,13.07124,9.778978
"2021-06-29 13:40:00",142,13.07422,9.774511
"2021-06-29 13:50:00",143,13.07491,9.774045
"2021-06-29 14:00:00",144,13.07582,9.782097
"2021-06-29 14:10:00",145,13.07647,9.776161
"2021-06-29 14:20:00",146,13.07469,9.775677
"2021-06-29 14:30:00",147,13.07782,9.776394
"2021-06-29 14:40:00",148,13.0748,9.779281
"2021-06-29 14:50:00",149,13.07657,9.78199
"2021-06-29 15:00:00",150,13.07581,9.78565
"2021-06-29 15:10:00",151,13.07491,9.78251
"2021-06-29 15:20:00",152,13.07751,9.779784
"2021-06-29 15:30:00",153,13.07444,9.795607
"2021-06-29 15:40:00",154,13.07505,9.790745
"2021-06-29 15:50:00",155,13.07593,9.782061
"2021-06-29 16:00:00",156,13.07595,9.775102
"2021-06-29 16:10:00",157,13.07757,9.779623
"2021-06-29 16:20:00",158,13.07414,9.781254
"2021-06-29 16:30:00",159,13.0748,9.778941
"2021-06-29 16:40:00",160,13.07458,9.778959
"2021-06-29 16:50:00",161,13.07567,9.779336
"2021-06-29 17:00:00",162,13.07458,9.781721
"2021-06-29 17:10:00",163,13.07571,9.77885
"2021-06-29 17:20:00",164,13.07606,9.782205
"2021-06-29 17:30:00",165,13.07619,9.781578
"2021-06-29 17:40:00",166,13.07691,9.778224
"2021-06-29 17:50:00",167,13.07601,9.778186
"2021-06-29 18:00:00",168,13.0762,9.780842
"2021-06-29 18:10:00",169,13.07571,9.784806
"2021-06-29 18:20:00",170,13.0756,9.786133
"2021-06-29 18:30:00",171,13.07664,9.793599
"2021-06-29 18:40:00",172,13.07637,9.785829
"2021-06-29 18:50:00",173,13.07702,9.824506
"2021-06-29 19:00:00",174,13.07708,9.792809
"2021-06-29 19:10:00",175,13.07722,9.824579
"2021-06-29 19:20:00",176,13.07655,9.814139
"2021-06-29 19:30:00",177,13.07617,9.790386
"2021-06-29 19:40:00",178,13.07647,9.789956
"2021-06-29 19:50:00",179,13.0772,9.809935
"2021-06-29 20:00:00",180,13.07742,9.798031
"2021-06-29 20:10:00",181,13.07786,9.78599
"2021-06-29 20:20:00",182,13.07731,9.779298
"2021-06-29 20:30:00",183,13.07723,9.776394
