"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20240305_chlatest.CR6","4835","EXO_Chla_overlap"
"TIMESTAMP","RECORD","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","Chla_RFU_test","Chla_ugL_test","BGAPC_RFU_test","BGAPC_ugL_test","EXO_wtr_1"
"TS","RN","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-01 18:10:00",39770,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-01-01 18:20:00",39771,5.03,20.13,1.43,1.35,"NAN","NAN","NAN","NAN",3.875
"2026-01-01 18:30:00",39772,4.65,18.6,1.39,1.3,"NAN","NAN","NAN","NAN",3.867
"2026-01-01 18:40:00",39773,4.1,16.4,1.33,1.24,"NAN","NAN","NAN","NAN",3.858
"2026-01-01 18:50:00",39774,4.93,19.75,1.45,1.36,"NAN","NAN","NAN","NAN",3.867
"2026-01-01 19:00:00",39775,4.4,17.58,1.51,1.42,"NAN","NAN","NAN","NAN",3.856
"2026-01-01 19:10:00",39776,4.33,17.33,1.36,1.27,"NAN","NAN","NAN","NAN",3.848
"2026-01-01 19:20:00",39777,4.03,16.1,1.12,1.04,"NAN","NAN","NAN","NAN",3.838
"2026-01-01 19:30:00",39778,4.17,16.68,1.24,1.16,"NAN","NAN","NAN","NAN",3.84
"2026-01-01 19:40:00",39779,4.2,16.8,1.36,1.27,"NAN","NAN","NAN","NAN",3.826
"2026-01-01 19:50:00",39780,4.47,17.87,1.6,1.5,"NAN","NAN","NAN","NAN",3.811
"2026-01-01 20:00:00",39781,4.04,16.15,1.22,1.14,"NAN","NAN","NAN","NAN",3.813
"2026-01-01 20:10:00",39782,4.28,17.1,1.19,1.11,"NAN","NAN","NAN","NAN",3.82
"2026-01-01 20:20:00",39783,4.54,18.16,1.53,1.44,"NAN","NAN","NAN","NAN",3.816
"2026-01-01 20:30:00",39784,4.47,17.86,1.36,1.28,"NAN","NAN","NAN","NAN",3.806
"2026-01-01 20:40:00",39785,4.4,17.6,1.35,1.26,"NAN","NAN","NAN","NAN",3.796
"2026-01-01 20:50:00",39786,4.56,18.23,1.37,1.29,"NAN","NAN","NAN","NAN",3.806
"2026-01-01 21:00:00",39787,4.19,16.75,1.29,1.21,"NAN","NAN","NAN","NAN",3.818
"2026-01-01 21:10:00",39788,4.1,16.38,1.13,1.05,"NAN","NAN","NAN","NAN",3.815
"2026-01-01 21:20:00",39789,3.51,14,1.22,1.13,"NAN","NAN","NAN","NAN",3.822
"2026-01-01 21:30:00",39790,3.48,13.88,1.21,1.12,"NAN","NAN","NAN","NAN",3.82
"2026-01-01 21:40:00",39791,4.49,17.96,1.79,1.69,"NAN","NAN","NAN","NAN",3.815
"2026-01-01 21:50:00",39792,3.16,12.6,1.12,1.04,"NAN","NAN","NAN","NAN",3.823
"2026-01-01 22:00:00",39793,3.18,12.68,1.07,0.99,"NAN","NAN","NAN","NAN",3.802
"2026-01-01 22:10:00",39794,3.56,14.2,1.22,1.14,"NAN","NAN","NAN","NAN",3.788
"2026-01-01 22:20:00",39795,3.85,15.37,1.32,1.23,"NAN","NAN","NAN","NAN",3.787
"2026-01-01 22:30:00",39796,3.44,13.72,1.18,1.1,"NAN","NAN","NAN","NAN",3.796
"2026-01-01 22:40:00",39797,4.44,17.76,1.38,1.29,"NAN","NAN","NAN","NAN",3.798
"2026-01-01 22:50:00",39798,3.64,14.52,1.15,1.07,"NAN","NAN","NAN","NAN",3.798
"2026-01-01 23:00:00",39799,2.38,9.45,0.87,0.79,"NAN","NAN","NAN","NAN",3.79
"2026-01-01 23:10:00",39800,4.28,17.1,1.42,1.33,"NAN","NAN","NAN","NAN",3.775
"2026-01-01 23:20:00",39801,4.53,18.12,1.35,1.27,"NAN","NAN","NAN","NAN",3.752
"2026-01-01 23:30:00",39802,4.07,16.25,1.24,1.15,"NAN","NAN","NAN","NAN",3.723
"2026-01-01 23:40:00",39803,4.68,18.71,1.4,1.31,"NAN","NAN","NAN","NAN",3.679
"2026-01-01 23:50:00",39804,4.36,17.44,1.39,1.3,"NAN","NAN","NAN","NAN",3.67
"2026-01-02 00:00:00",39805,4.67,18.7,1.41,1.33,"NAN","NAN","NAN","NAN",3.667
"2026-01-02 00:10:00",39806,5.05,20.21,1.43,1.34,"NAN","NAN","NAN","NAN",3.671
"2026-01-02 00:20:00",39807,4.69,18.77,1.49,1.4,"NAN","NAN","NAN","NAN",3.678
"2026-01-02 00:30:00",39808,4.69,18.78,1.4,1.31,"NAN","NAN","NAN","NAN",3.7
