Reservoir; Site; DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
FCR;50; CAT; 2020-07-06 11:25:00 EST; 2020-07-06 12:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-07-06 14:35:00 EST; 2020-07-06 14:45:00 EST; RDO_mgL_5; RDOsat_percent_5;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2020-07-13 10:30:00 EST; 2020-07-13 11:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-07-13 13:00:00 EST; 2020-07-13 14:50:00 EST; RDO_mgL_5; RDOsat_percent_5;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2020-07-20 10:49:00 EST; 2020-07-20 11:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-07-27 11:35:00 EST; 2020-07-27 12:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-07-27 06:40:00 EST; 2020-07-28 16:10:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-08-03 11:50:00 EST; 2020-08-03 12:30:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-08-03 11:50:00 EST; 2020-08-05 00:00:00 EST; RDO_mgL_9; RDOsat_percent_9;1; NA; NA; sensor data very high and not agreeing with handheld DO probe
FCR;50; CAT; 2020-08-07 10:00:00 EST; 2020-08-07 12:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and changed DO caps on EXO and RDO
FCR;50; CAT; 2020-08-07 07:40:00 EST; 2020-08-12 00:00:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-08-10 12:20:00 EST; 2020-08-10 12:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-08-11 07:00:00 EST; 2020-08-17 12:50:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/6500; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-08-11 07:00:00 EST; 2020-08-17 12:50:00 EST; RDOsat_percent_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/6500/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
